match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2011_29,2011,2011-04-26,DD,RCB,Arun Jaitley Stadium,Delhi,RCB,field,RCB,0,3,V Kohli,29,wickets,3
2011_31,2011,2011-04-27,PW,CSK,Dr DY Patil Sports Academy,Mumbai,PW,bat,CSK,0,8,DE Bollinger,31,wickets,8
2011_34,2011,2011-04-29,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,7,J Botha,34,wickets,7
2011_35,2011,2011-04-30,KKR,KXIP,Eden Gardens,Kolkata,KKR,field,KKR,0,8,Iqbal Abdulla,35,wickets,8
2011_38,2011,2011-05-01,RR,PW,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,6,LRPL Taylor,38,wickets,6
2011_39,2011,2011-05-02,DD,KTK,Arun Jaitley Stadium,Delhi,KTK,field,KTK,0,7,P Parameswaran,39,wickets,7
2011_42,2011,2011-05-04,CSK,RR,MA Chidambaram Stadium,Chennai,RR,bat,CSK,0,8,MEK Hussey,42,wickets,8
2011_45,2011,2011-05-05,SRH,DD,Rajiv Gandhi Intl. Stadium,Hyderabad,DD,field,DD,0,4,V Sehwag,45,wickets,4
2011_49,2011,2011-05-08,KXIP,PW,PCA IS Bindra Stadium,Chandigarh,KXIP,bat,PW,0,5,R Sharma,49,wickets,5
2011_50,2011,2011-05-08,RCB,KTK,M Chinnaswamy Stadium,Bangalore,KTK,bat,RCB,0,9,CH Gayle,50,wickets,9
2011_52,2011,2011-05-10,SRH,PW,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,bat,PW,0,6,MR Marsh,52,wickets,6
2011_54,2011,2011-05-11,RR,RCB,Sawai Mansingh Stadium,Jaipur,RCB,field,RCB,0,9,S Aravind,54,wickets,9
2011_56,2011,2011-05-13,KTK,KXIP,Holkar Cricket Stadium,Indore,KXIP,field,KXIP,0,6,KD Karthik,56,wickets,6
2011_57,2011,2011-05-14,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,4,CH Gayle,57,wickets,4
2011_59,2011,2011-05-15,KTK,RR,Holkar Cricket Stadium,Indore,KTK,field,KTK,0,8,BJ Hodge,59,wickets,8
2011_61,2011,2011-05-16,PW,SRH,Dr DY Patil Sports Academy,Mumbai,SRH,field,SRH,0,6,A Mishra,61,wickets,6
2011_64,2011,2011-05-19,PW,KKR,Dr DY Patil Sports Academy,Mumbai,KKR,field,KKR,0,7,YK Pathan,64,wickets,7
2011_65,2011,2011-05-20,MI,RR,Wankhede Stadium,Mumbai,MI,bat,RR,0,10,SR Watson,65,wickets,10
2011_68,2011,2011-05-22,RCB,CSK,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,8,CH Gayle,68,wickets,8
2011_69,2011,2011-05-22,KKR,MI,Eden Gardens,Kolkata,MI,field,MI,0,5,JEC Franklin,69,wickets,5
2011_70,2011,2011-05-24,RCB,CSK,Wankhede Stadium,Mumbai,CSK,field,CSK,0,6,SK Raina,70,wickets,6
2011_71,2011,2011-05-25,MI,KKR,Wankhede Stadium,Mumbai,MI,field,MI,0,4,MM Patel,71,wickets,4
2012_01,2012,2012-04-04,CSK,MI,MA Chidambaram Stadium,Chennai,MI,field,MI,0,8,RE Levi,1,wickets,8
