match_id,season,team1,team2,winner,nrr
2013_55,2013,KXIP,RR,RR,-0.4652908067542212
2013_56,2013,PW,KKR,KKR,2.054838709677419
2013_57,2013,DD,RCB,RCB,0.2628387096774176
2013_59,2013,KXIP,SRH,SRH,1.5363771846633236
2013_58,2013,PW,MI,MI,-0.4462809917355379
2013_60,2013,KKR,RCB,KKR,-0.09752066115702451
2013_61,2013,RR,CSK,RR,-1.4296435272045036
2013_62,2013,MI,SRH,MI,-0.5729898516783773
2013_63,2013,CSK,DD,CSK,1.596774193548387
2013_64,2013,RCB,KXIP,KXIP,-1.0594184576485457
2013_65,2013,KKR,PW,PW,0.47853255392058003
2013_66,2013,MI,RR,MI,0.6774193548387091
2013_67,2013,KXIP,DD,KXIP,0.2092320096754694
2013_68,2013,SRH,RR,SRH,0.9773393761663556
2013_69,2013,KXIP,MI,KXIP,2.0921268452706387
2013_70,2013,RCB,CSK,RCB,2.879999999999999
2013_71,2013,PW,DD,PW,2.0595352410217025
2013_72,2013,SRH,KKR,SRH,-0.4277673545966225
2013_73,2013,CSK,MI,CSK,2.0210526315789474
2013_74,2013,RR,SRH,RR,-0.4773100054674684
2013_75,2013,MI,RR,MI,-0.32390243902438964
2013_76,2013,CSK,MI,MI,1.31400038409833
2014_01,2014,MI,KKR,KKR,1.8375099973340445
2014_02,2014,DD,RCB,RCB,-1.5183150183150182
2014_03,2014,SRH,RR,RR,-0.4227226890756306
2014_04,2014,CSK,KXIP,KXIP,-0.8652012711864394
2014_05,2014,RCB,MI,RCB,-1.001521606816798
2014_06,2014,KKR,DD,DD,-0.6290697674418597
2014_07,2014,RR,KXIP,KXIP,-0.6656854499579499
2014_08,2014,CSK,DD,CSK,3.384146341463415
2014_09,2014,KXIP,SRH,KXIP,3.338709677419354
2014_10,2014,RR,CSK,CSK,0.01913190603240711
2014_11,2014,RCB,KKR,KKR,0.038552321007080614
2014_12,2014,SRH,DD,SRH,0.26869252299080415
2014_13,2014,CSK,MI,CSK,-0.23205128205128212
2014_15,2014,KKR,KXIP,KXIP,0.8048467569493942
2014_14,2014,RR,RCB,RR,-0.7096153846153843
2014_16,2014,SRH,CSK,CSK,-0.4140087554721701
2014_17,2014,DD,MI,DD,-0.5831918505942282
2014_18,2014,KXIP,RCB,KXIP,-0.2546010139593031
2014_19,2014,KKR,RR,,0.2335317841367397
2014_20,2014,MI,SRH,SRH,0.779809523809524
2014_21,2014,CSK,KKR,CSK,1.9805825242718447
2014_22,2014,DD,RR,RR,-0.6733362331448465
2014_23,2014,MI,KXIP,MI,-0.5800677966101695
2014_24,2014,RCB,SRH,RCB,-0.3844824275014407
2014_25,2014,DD,CSK,CSK,-0.43709677419354875
2014_26,2014,RR,KKR,RR,0.5458064516129015
2014_27,2014,MI,RCB,MI,0.636592741935484
2014_28,2014,DD,KKR,KKR,-0.8338502436863093
2014_29,2014,KXIP,CSK,KXIP,1.9660487804878066
2014_30,2014,RR,SRH,SRH,1.6546800634584882
2014_31,2014,RCB,KXIP,KXIP,1.0364442255602082
2014_32,2014,DD,SRH,SRH,-1.7090909090909099
