batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
OA Shah,3,153,110,4,4,38.25,139.0909090909091
OA Shah,4,90,59,3,4,30.0,152.54237288135593
OA Shah,5,212,198,4,10,53.0,107.07070707070707
OA Shah,6,50,37,1,3,50.0,135.13513513513513
OA Shah,7,1,1,1,1,1.0,100.0
OC McCoy,9,8,5,0,1,8.0,160.0
OF Smith,6,0,1,1,1,0.0,0.0
OF Smith,7,42,34,2,4,21.0,123.52941176470588
OF Smith,8,9,15,0,1,9.0,60.0
P Awana,10,4,6,1,2,4.0,66.66666666666666
P Awana,11,1,8,2,3,0.5,12.5
P Chopra,5,8,6,1,1,8.0,133.33333333333331
P Dogra,5,47,41,3,2,15.666666666666666,114.6341463414634
P Dogra,6,39,46,3,4,13.0,84.78260869565217
P Dogra,7,41,54,6,6,6.833333333333333,75.92592592592592
P Dubey,8,16,20,1,1,16.0,80.0
P Dubey,9,7,13,0,1,7.0,53.84615384615385
P Kumar,1,6,8,2,2,3.0,75.0
P Kumar,6,4,2,0,1,4.0,200.0
P Kumar,7,39,39,3,3,13.0,100.0
P Kumar,8,85,82,13,17,6.538461538461538,103.65853658536585
P Kumar,9,120,123,11,22,10.909090909090908,97.5609756097561
P Kumar,10,86,69,5,12,17.2,124.63768115942028
P Negi,4,8,2,0,1,8.0,400.0
P Negi,5,23,24,2,3,11.5,95.83333333333334
P Negi,6,95,91,5,8,19.0,104.39560439560441
P Negi,7,170,139,13,15,13.076923076923077,122.3021582733813
P Negi,8,63,40,6,7,10.5,157.5
P Negi,9,6,5,0,1,6.0,120.0
P Parameswaran,10,1,1,0,1,1.0,100.0
P Parameswaran,11,0,2,0,1,0.0,0.0
P Ray Barman,8,19,25,1,1,19.0,76.0
P Sahu,9,1,1,0,1,1.0,100.0
P Sahu,10,18,12,0,1,18.0,150.0
P Simran Singh,1,403,270,16,17,25.1875,149.25925925925927
P Simran Singh,2,153,103,6,6,25.5,148.54368932038835
P Simran Singh,3,180,130,11,9,16.363636363636363,138.46153846153845
P Simran Singh,4,4,7,1,1,4.0,57.14285714285714
P Simran Singh,7,16,18,1,1,16.0,88.88888888888889
PA Patel,1,1415,1253,67,68,21.119402985074625,112.92897047086991
PA Patel,2,979,801,44,46,22.25,122.22222222222223
PA Patel,3,416,346,12,15,34.666666666666664,120.23121387283237
PA Patel,4,1,3,1,1,1.0,33.33333333333333
PA Patel,6,34,33,3,4,11.333333333333334,103.03030303030303
PA Patel,7,3,6,0,2,3.0,50.0
PA Reddy,1,114,124,7,7,16.285714285714285,91.93548387096774
PA Reddy,2,7,12,1,1,7.0,58.333333333333336
PA Reddy,3,19,17,1,1,19.0,111.76470588235294
PA Reddy,7,24,14,1,1,24.0,171.42857142857142
PBB Rajapaksa,2,9,6,1,1,9.0,150.0
PBB Rajapaksa,3,239,159,9,10,26.555555555555557,150.31446540880503
PBB Rajapaksa,4,29,36,2,2,14.5,80.55555555555556
PC Valthaty,1,254,197,6,7,42.333333333333336,128.93401015228426
PC Valthaty,2,236,197,12,12,19.666666666666668,119.79695431472082
PC Valthaty,3,14,33,3,3,4.666666666666667,42.42424242424242
PC Valthaty,4,1,5,1,1,1.0,20.0
PD Collingwood,4,97,66,2,4,48.5,146.96969696969697
PD Collingwood,5,53,45,1,1,53.0,117.77777777777779
PD Collingwood,6,53,48,1,2,53.0,110.41666666666667
PD Salt,1,435,251,13,13,33.46153846153846,173.30677290836653
PD Salt,2,108,64,3,3,36.0,168.75
