match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
2022_54,2022,2022-05-08,RCB,SRH,Wankhede Stadium,Mumbai,RCB,bat,RCB,67,0,PWH de Silva,54
2022_55,2022,2022-05-08,CSK,DC,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,DC,field,CSK,91,0,DP Conway,55
2022_56,2022,2022-05-09,KKR,MI,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,MI,field,KKR,52,0,JJ Bumrah,56
2022_57,2022,2022-05-10,GT,LSG,MCA Stadium,Pune,GT,bat,GT,62,0,Shubman Gill,57
2022_58,2022,2022-05-11,RR,DC,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,DC,field,DC,0,8,MR Marsh,58
2022_59,2022,2022-05-12,CSK,MI,Wankhede Stadium,Mumbai,MI,field,MI,0,5,DR Sams,59
2022_60,2022,2022-05-13,PBKS,RCB,"Brabourne Stadium, Mumbai",Mumbai,RCB,field,PBKS,54,0,JM Bairstow,60
2022_61,2022,2022-05-14,KKR,SRH,MCA Stadium,Pune,KKR,bat,KKR,54,0,AD Russell,61
2022_62,2022,2022-05-15,CSK,GT,Wankhede Stadium,Mumbai,CSK,bat,GT,0,7,WP Saha,62
2022_63,2022,2022-05-15,RR,LSG,"Brabourne Stadium, Mumbai",Mumbai,RR,bat,RR,24,0,TA Boult,63
2022_64,2022,2022-05-16,DC,PBKS,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,PBKS,field,DC,17,0,SN Thakur,64
2022_65,2022,2022-05-17,SRH,MI,Wankhede Stadium,Mumbai,MI,field,SRH,3,0,RA Tripathi,65
2022_66,2022,2022-05-18,LSG,KKR,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,LSG,bat,LSG,2,0,Q de Kock,66
2022_67,2022,2022-05-19,GT,RCB,Wankhede Stadium,Mumbai,GT,bat,RCB,0,8,V Kohli,67
2022_68,2022,2022-05-20,CSK,RR,"Brabourne Stadium, Mumbai",Mumbai,CSK,bat,RR,0,5,R Ashwin,68
2022_69,2022,2022-05-21,DC,MI,Wankhede Stadium,Mumbai,MI,field,MI,0,5,JJ Bumrah,69
2022_70,2022,2022-05-22,SRH,PBKS,Wankhede Stadium,Mumbai,SRH,bat,PBKS,0,5,Harpreet Brar,70
2022_71,2022,2022-05-24,RR,GT,Eden Gardens,Kolkata,GT,field,GT,0,7,DA Miller,71
2022_72,2022,2022-05-25,RCB,LSG,Eden Gardens,Kolkata,LSG,field,RCB,14,0,RM Patidar,72
2022_73,2022,2022-05-27,RCB,RR,Narendra Modi Stadium,Ahmedabad,RR,field,RR,0,7,JC Buttler,73
2022_74,2022,2022-05-29,RR,GT,Narendra Modi Stadium,Ahmedabad,RR,bat,GT,0,7,HH Pandya,74
2023_01,2023,2023-03-31,CSK,GT,Narendra Modi Stadium,Ahmedabad,GT,field,GT,0,5,Rashid Khan,1
2023_02,2023,2023-04-01,PBKS,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,KKR,field,PBKS,7,0,Arshdeep Singh,2
2023_03,2023,2023-04-01,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,DC,field,LSG,50,0,MA Wood,3
2023_04,2023,2023-04-02,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,field,RR,72,0,JC Buttler,4
2023_05,2023,2023-04-02,MI,RCB,M. Chinnaswamy Stadium,Bengaluru,RCB,field,RCB,0,8,F du Plessis,5
2023_06,2023,2023-04-03,CSK,LSG,MA Chidambaram Stadium,Chennai,LSG,field,CSK,12,0,MM Ali,6
